,reg_code,reg_name,AR6WG1_R58x,GFED_R14x,Global,GLOBIOM_R30,GLOBIOM_R37,IAMC_R10,IAMC_R5,IAMC_R9,MESSAGE_R11,MESSAGE_R12,RECCAP_R18x,Resolution_0p125deg,Resolution_0p25deg,Resolution_0p5deg,Resolution_1deg,Resolution_2deg,Resolution_2p5deg,SREX_R26x
290,XAL,Armistice Green Line,MED,MIDE,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,MIDE,XAL,XAL,XAL,XAL,XXX,XAL,MED
291,XAP,Arunachal Pradesh,TIB,SEAS,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,SAS,XAP,XAP,XAP,XAP,XAP,XAP,SAS
292,XBT,Bir Tawil,SAH,NHAF,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,NAF,XBT,XBT,XBT,XBT,XBT,XXX,SAH
293,XCI,Clipperton Island,NPO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
294,XCS,Caspian Sea,WCA,CEAS,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,MIDE,XCS,XCS,XCS,XCS,XCS,XCS,WAS
295,XGK,Greater Kashmir,TIB,SEAS,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,SAS,XGK,XGK,XGK,XGK,XGK,XGK,TIB
296,XGL,Great Lakes,ENA,TENA,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,USA,XGL,XGL,XGL,XGL,XGL,XGL,CNA
297,XHT,Halaib Triangle,SAH,NHAF,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,NAF,XHT,XHT,XHT,XHT,XHT,XHT,SAH
298,XHV,Disputed Himalayan Valleys,TIB,SEAS,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,SAS,XHV,XHV,XHV,XHV,XHV,XHV,TIB
299,XIT,Ilemi Triangle,NEAF,NHAF,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,NAF,XIT,XIT,XIT,XIT,XXX,XIT,EAF
300,XKI,Kuril Islands,EAS,BOAS,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,RUS,XKI,XKI,XKI,XKI,XKI,XKI,XXX
301,XKO,Kosovo,MED,EURO,XXL,ROWO,ROWO,EUROPE,OECD90+EU,OTHEROECD,EEU,EEU,EU,XKO,XKO,XKO,XKO,XKO,XKO,MED
302,XPI,Paracel Islands,SEA,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,XPI,XPI,XPI,XPI,XPI,XPI,SEA
303,XSC,Scattered Islands in the Indian Ocean,MDG,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,XSC,XSC,XSC,XSC,XSC,XSC,SAF
304,XSI,Spratly Islands,SEA,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,XSI,XSI,XSI,XSI,XSI,XSI,SEA
305,XSK,Senkaku Islands,EAS,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,XSK,XSK,XSK,XXX,XXX,XXX,EAS
306,XSS,Scarborough Shoal,SEA,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,XSS,XSS,XXX,XXX,XXX,XXX,SEA
307,YEM,Yemen,ARP,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,YEM,YEM,YEM,YEM,YEM,YEM,WAS
308,ZAF,South Africa,ESAF,SHAF,XXL,ZAF,ZAF,AFRICA,MAF,MAF,AFR,AFR,SAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,SAF
309,ZMB,Zambia,ESAF,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,SAF,ZMB,ZMB,ZMB,ZMB,ZMB,ZMB,SAF
310,ZWE,Zimbabwe,ESAF,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,SAF,ZWE,ZWE,ZWE,ZWE,ZWE,ZWE,SAF
